Id,Age,Height_Cm,Weight_Kgs,Overall_Rating,Potential,Value_Euro,International_Reputation(1-5),Skill_Moves(1-5),Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,Freekick_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing_Tackle,Sliding_Tackle,Gk_Diving,Gk_Handling,Gk_Kicking,Gk_Positioning,Gk_Reflexes
189110,29,185.42,69.9,68,69,825000,1,2,59,28,66,57,13,42,59,12,52,55,74,64,79,62,64,42,79,81,79,22,66,63,23,47,40,53,63,70,68,15,10,6,10,10
184502,31,182.88,73.9,68,68,825000,1,3,67,48,69,68,40,65,52,48,65,68,58,54,63,70,65,54,66,88,80,56,74,70,56,65,41,65,61,70,67,14,13,13,12,11
172470,31,187.96,83.9,68,68,875000,1,3,52,67,67,70,71,70,70,62,51,72,41,37,56,65,49,68,48,54,75,69,51,30,75,72,68,75,33,30,20,16,10,15,11,13
203446,27,172.72,67.1,68,68,750000,1,3,75,50,43,75,60,70,73,67,73,73,60,65,75,67,77,67,72,68,61,60,63,70,55,73,64,73,62,58,53,13,11,11,7,6
116917,33,185.42,82.1,68,68,525000,1,1,10,10,16,34,10,15,12,12,34,23,46,49,54,62,60,16,51,34,56,8,39,26,14,28,19,50,7,12,19,65,67,64,69,70
234933,27,152.4,78.9,68,70,900000,1,2,33,25,65,61,25,31,24,22,56,43,64,35,70,61,67,38,83,75,72,26,72,66,25,30,51,58,68,70,69,14,9,12,12,5
223157,22,190.5,78,68,76,1300000,1,3,33,70,63,46,59,67,51,42,29,69,69,76,75,62,44,67,62,71,74,63,34,22,69,51,63,68,45,14,18,10,14,7,13,13
215477,30,190.5,84.8,68,68,675000,1,2,46,38,70,59,30,38,28,31,38,64,60,51,46,59,41,42,80,69,84,29,62,62,30,38,40,60,60,70,67,8,14,16,9,8
208309,25,154.94,83.9,68,73,1000000,1,2,56,27,64,69,43,61,45,43,61,65,75,69,71,60,64,73,81,75,70,63,78,66,55,52,46,56,64,73,69,12,11,10,13,15
200629,27,193.04,86.2,68,72,800000,1,1,12,5,10,33,20,22,18,11,37,29,42,49,53,56,50,39,50,32,46,14,41,21,13,24,22,45,17,13,12,70,64,68,68,72
193716,27,187.96,78.9,68,71,925000,1,2,31,44,67,63,36,58,42,30,70,60,54,62,58,58,41,37,70,76,81,32,75,67,33,55,37,63,63,67,67,14,7,10,6,10
114356,36,185.42,88,68,68,210000,1,1,12,13,13,13,14,15,16,14,12,14,37,42,46,69,52,13,66,24,59,12,36,23,16,50,11,64,14,11,13,72,61,72,67,67
226228,23,152.4,69.9,68,77,1400000,1,3,65,62,51,65,59,64,60,50,63,67,86,80,84,65,66,60,45,83,60,67,60,31,66,55,52,51,33,34,50,11,13,12,9,16
